student_id,lesson_gap,kg_proximity,difficulty_fit,duration_fit,style_type_fit,prereq_readiness,rule_score,content_score,tag_overlap,tfidf_lesson_sim,graph_score,gnn_style_affinity,kg_resource_centrality,risk_score,engagement_norm,performance_norm,attendance_ratio,gpa_norm,prior_score,time_budget,interaction_density_norm,submission_delay,forum_activity,n_gap_norm,quiz_gap,assessment_gap,resource_appetite,ability,res_duration_norm,res_difficulty,res_is_video,res_is_lab,res_is_pdf,res_prereq_count,res_lesson_size
ST4662,0.041976,0.043408,0.022289,0.0085,0.003822,0.076839,0.174652,-0.000697,0.001409,0.015506,-0.002446,-0.002994,0.000603,-0.0019,0.000469,-0.001112,0.00018,-2.5e-05,-4e-05,0.000676,-1.1e-05,-0.000238,0.000122,0.001378,0.000111,3e-06,-0.001113,-0.000473,0.00275,0.008718,0.0,0.002835,0.002131,0.00085,0.001914
ST4665,0.041774,0.043408,0.022269,0.008204,0.00228,0.07575,0.215373,0.020612,0.002291,0.024491,0.002775,0.00143,0.001399,-0.002974,0.000412,7.1e-05,0.000255,0.000104,0.0,0.000587,0.000227,-4.7e-05,0.000334,0.000627,-0.000146,-0.000428,-4.6e-05,-0.000571,0.003037,0.008409,0.0,-7.3e-05,-7.9e-05,0.001022,0.003703
ST4674,0.039764,0.043408,-0.073646,-0.075655,0.000988,0.074572,0.151627,0.007367,0.001362,0.014358,0.000155,-0.000818,-0.002135,0.001074,0.001665,0.00065,-0.000416,0.000143,0.000111,-0.0007,0.000369,-0.000715,-0.00023,0.000273,0.000224,0.000672,0.000152,-0.001415,-0.009599,0.004198,0.0,-0.000138,0.0,-0.010702,0.001808
ST4682,0.043984,0.050146,-0.040335,0.011961,-0.002558,0.05706,-0.042284,0.048847,0.005841,0.062795,0.004269,0.001657,0.002201,-0.004707,0.00013,-0.000154,0.000485,0.000627,0.0,-0.000382,0.000107,7e-05,-1.6e-05,-0.000189,-0.000475,0.0,-0.00018,-0.003231,0.001607,-0.02498,-0.000596,-7.3e-05,6.4e-05,0.003842,0.012856
ST4683,0.039764,0.043408,-0.072773,-0.075514,0.000988,0.075593,0.145687,0.006755,0.000755,0.014794,0.00013,-0.000906,-0.00163,0.001184,0.000228,0.000514,0.000359,0.000143,0.000111,-0.001473,0.000533,-0.000715,0.000442,0.000273,-1.8e-05,0.001011,3.4e-05,-0.001532,-0.009863,0.004198,0.0,-0.000138,0.0,-0.010702,0.00226
ST4687,-0.007333,-0.003926,0.004965,0.006552,0.007067,0.002305,0.068722,0.015223,0.003031,-0.003661,0.013197,0.00134,-0.000103,-0.001816,3.7e-05,0.000878,-0.000931,0.001153,0.000119,-0.000339,0.00042,0.0,-7.9e-05,-0.000269,0.000141,-0.000117,4.5e-05,-0.000189,-0.001105,0.001025,-0.005607,-0.000559,-0.00483,8.7e-05,0.0001
ST4696,0.041774,0.043408,0.030065,0.010798,0.003583,0.095535,0.104686,0.015112,0.004932,0.015038,0.004038,0.001884,0.001545,0.000235,7.9e-05,0.000806,-0.000365,-0.00017,7.7e-05,0.00362,-0.000425,0.000136,8e-06,0.00153,0.0003,0.000866,0.000497,-5.1e-05,0.002358,0.002988,0.0,-0.000395,0.0,0.001385,-0.001819
ST4699,0.041774,0.043408,0.0226,0.008318,0.002332,0.07584,0.201432,0.021309,-0.001367,0.03173,0.002211,0.00275,0.001974,-0.00289,0.000396,-0.000579,-0.000276,0.000519,8.1e-05,0.000738,-0.00063,-0.000622,0.000113,0.000627,0.00053,-0.000488,-5.1e-05,-0.000517,0.002935,0.008439,0.0,-0.000231,-8.5e-05,0.001022,0.0042
ST4700,0.041774,0.043408,0.022211,0.007296,0.003331,0.08002,0.205497,0.018683,0.004788,0.016148,0.003369,0.00173,0.000276,-0.003183,-0.000236,-0.000555,-0.000391,0.000525,8.4e-05,0.001077,-0.000557,0.000119,0.000687,0.000417,0.000963,-0.000414,-0.000133,-0.000686,0.002868,0.008871,0.0,-7.3e-05,0.0,0.000675,-0.004893
ST4711,0.041976,0.043408,0.02275,0.009855,-0.00518,0.076681,0.160522,0.002407,0.000473,0.014217,0.0132,0.002603,0.000626,-0.000683,-0.000956,0.000405,-0.0002,0.000247,0.0,0.001754,0.000199,0.000113,0.000322,-0.001301,-4.3e-05,0.001137,-0.003305,-0.000494,0.002994,0.008335,0.0,0.00329,0.002142,0.000714,0.002561
ST4717,0.041774,0.04385,-0.077902,0.02115,-0.001112,0.069137,0.055767,0.027216,0.002965,0.034808,0.004802,0.000795,0.004744,0.001032,8.1e-05,-0.000238,0.00016,-0.000198,0.0,0.001597,0.000622,0.000153,0.0,0.000728,-0.000957,0.000577,0.000214,-0.001429,0.00388,0.011487,-0.000335,-7.3e-05,0.0,0.003538,0.007509
ST4734,0.042864,0.046105,-0.041164,-0.034465,-3e-06,0.034777,-0.054311,0.034322,0.003849,0.050558,-0.001874,-0.000675,0.005132,-0.006272,0.00047,0.000301,3.9e-05,0.000293,-0.000387,0.000857,-0.000218,0.000159,1.1e-05,0.00017,-0.000142,0.000449,2.7e-05,-0.00022,0.002038,0.022628,-0.000869,-9.4e-05,0.0,0.001913,0.009447
ST4737,0.041774,0.043408,0.023026,0.003862,0.001993,0.074818,0.22109,0.023616,0.001782,0.029395,0.004097,0.001922,0.000223,0.012629,-1e-06,0.000202,-0.000264,0.000119,7.6e-05,0.000287,0.000133,0.0,-0.000394,0.000521,-0.00104,0.000133,-9.2e-05,0.002391,0.002615,0.008292,0.0,-7.3e-05,-2.8e-05,0.000896,0.002269
ST4738,0.041367,0.043522,-0.08197,0.013249,-0.000582,0.088408,0.123597,0.03147,0.005613,0.041097,-0.002122,-0.001884,0.001165,0.001987,0.00171,-0.003141,-0.000192,-0.000223,0.0,0.000671,0.000528,-0.000514,-0.000131,0.000659,-0.000454,-0.000245,0.000232,-0.000928,0.001603,-0.019858,0.0,-0.000138,0.0,0.003141,0.006681
ST4741,0.041367,0.043408,0.02323,0.00766,0.004917,-0.06036,0.174257,0.008302,0.000941,0.017856,0.00265,-0.003309,0.000373,-0.001761,0.000478,-0.001098,0.004502,-0.000324,0.0,0.000338,-0.000124,0.000186,0.000575,0.0,0.000141,-0.00023,-0.000209,-0.001485,0.002984,-0.023631,0.009572,-0.000138,0.004051,0.0,-0.003784
ST4742,0.041976,0.043408,0.0218,0.006774,0.003402,0.076839,0.193753,-0.001072,0.000776,0.014573,-0.000178,-0.002961,0.000168,-0.003058,0.000479,0.000866,0.000268,-6.4e-05,-6.3e-05,-4e-05,-0.00047,0.000202,7e-06,0.000873,-0.000249,0.000839,0.00082,-0.000388,0.002858,0.008715,0.0,0.003264,0.002902,0.000979,0.002232
ST4749,0.039764,0.043408,0.029139,-0.090741,-6e-06,0.070969,0.195351,0.009126,0.001703,0.019446,0.002268,0.000569,0.000508,0.003602,0.000131,5.6e-05,0.002243,0.00076,0.0,-0.002682,0.000136,-5e-06,-0.000239,0.000118,0.0,0.00044,-0.000175,0.006532,-0.010625,0.006392,-0.000377,-7.3e-05,0.0,-0.007387,0.000715
ST4750,0.041774,0.043408,0.022622,0.021382,0.002026,0.074689,0.165485,0.01423,0.001841,0.01812,0.007061,0.004552,0.000698,-0.001084,0.000567,7.8e-05,-0.000825,-0.000174,0.000114,-0.020919,-0.000413,0.000204,0.000258,0.00143,-0.00017,-0.0005,-0.000351,-2.6e-05,0.008565,0.008669,0.0,-0.000129,0.0,0.000469,0.002342
ST4782,0.041774,0.043408,-0.089741,0.010695,0.002087,0.082102,0.213452,0.004592,0.000822,0.010535,0.001337,2.6e-05,0.001067,0.008579,-0.000382,-0.000983,0.000368,0.001754,-0.000111,-0.000197,-0.000525,0.0,-0.000229,-0.000564,0.0,0.000242,0.000198,-7.9e-05,0.002351,0.011867,0.0,-7.3e-05,-5.3e-05,0.002322,-0.00271
ST4783,0.041367,0.043522,-0.066679,0.013834,-0.000227,0.094245,0.071622,0.03393,0.004427,0.044373,-0.002536,-0.001114,0.002347,-0.000772,-0.000329,-0.000256,0.000607,-0.000183,0.0,0.000107,0.000225,-5.1e-05,-0.000359,0.000339,0.000105,-0.000234,-0.000469,-0.002024,0.00124,-0.023373,-8.7e-05,-7.3e-05,0.0,0.002635,0.011698
ST4789,0.039764,0.043408,0.027382,-0.091849,-0.000294,0.074769,0.18034,0.012807,0.005175,0.018102,0.000117,0.000781,0.001883,-0.000303,0.00017,5.7e-05,0.001128,0.000842,0.0,-0.024256,-0.000419,0.000115,0.000421,0.0,0.000258,0.000256,0.000277,0.000773,0.001345,0.007902,0.0,-0.000138,0.0,0.001141,-0.00307
ST4809,0.041774,0.043408,0.022864,0.009416,-0.004651,0.076479,0.149502,0.016332,0.000778,0.020086,0.001328,0.001927,-0.000292,-0.00042,0.001098,7.8e-05,-0.000609,5e-05,6.6e-05,0.001954,-6e-06,-0.000229,0.000213,0.001784,-0.000227,0.000295,-2.1e-05,-0.000518,0.002899,0.008272,0.0,-0.000188,-8.8e-05,0.000763,0.001925
ST4827,0.039764,0.043408,-0.072105,-0.074504,0.000398,0.065494,0.107768,0.016831,0.002897,0.028902,-0.001462,-0.000649,0.003957,0.001119,-0.000208,0.0005,0.00055,-1.7e-05,-0.0001,0.001426,-0.00037,0.000149,9.9e-05,0.0,0.000176,0.00018,0.000217,-0.000434,0.003273,0.013251,-7.1e-05,-0.000138,0.0,0.004205,0.006738
ST4828,0.03998,0.04385,-0.05824,-0.065498,-0.001618,0.066336,0.085875,0.007478,0.001511,0.01662,0.00106,-0.000241,-0.006142,0.000733,0.000702,0.000477,-0.000668,9.8e-05,0.000334,-0.001888,0.000606,-0.000206,-0.000103,0.0,-0.000157,0.002945,-0.000111,-0.001135,-0.007035,0.015635,-7.1e-05,-0.000315,0.0,-0.007115,0.006729
ST4870,0.041774,0.043408,-0.082917,0.015967,0.000147,0.074889,0.127386,0.03022,0.001567,0.039214,0.001702,0.001591,0.000845,0.000497,-0.000554,-0.004052,-0.000528,-0.001586,0.0,0.001043,0.000758,-0.000154,-0.000331,0.001284,-0.000803,-0.000485,-6.6e-05,0.000163,0.003239,0.000128,0.0,-0.000138,0.0,0.003387,0.003537
ST4880,0.041367,0.043522,-0.07915,0.009395,-0.001008,0.08494,0.162249,0.029003,0.002304,0.038317,-0.002561,-0.001125,0.000711,0.001046,-0.001457,-0.001466,-0.000394,-0.003554,0.0,0.000531,-0.000107,-8e-05,7.7e-05,0.000659,6e-05,-0.00048,-0.000175,0.000892,0.002139,-0.023164,0.0,-0.000138,0.0,0.001855,0.004862
ST4883,0.041774,0.043408,0.022431,0.005579,0.001806,0.075781,0.203918,0.001634,0.000762,0.012394,0.006937,0.00305,0.00011,0.013808,-0.00033,-0.00077,-0.000611,-0.000244,-0.000255,0.000982,0.000339,-0.000104,-0.000496,-0.000395,-0.000237,0.000503,-0.001316,0.001908,0.002709,0.007995,0.0,-0.000128,-0.000153,0.000843,0.00298
ST4886,0.041774,0.043408,0.020705,0.007644,0.00259,0.07982,0.193704,-0.001903,-0.000119,0.011426,-0.007857,-0.002375,0.000865,-0.003694,0.000304,-0.000293,0.00042,-7.5e-05,0.0,0.001424,0.00055,-0.000193,0.00038,0.000694,0.000289,-2e-05,0.000821,0.000212,0.002135,0.009341,0.0,-0.00059,-0.001068,0.000652,-0.002965
ST4892,0.041774,0.043408,0.025318,0.010552,0.002034,0.076789,0.14601,0.022103,0.001272,0.035344,-0.000478,-0.001522,0.000959,-0.000182,-9e-06,0.000214,0.000258,2.7e-05,0.000365,0.001674,-0.0003,-0.000406,0.000622,0.001331,-0.000535,1.1e-05,-0.000207,-0.00025,0.002728,0.007659,0.0,-0.000138,0.0,0.000829,0.002489
ST4895,0.041367,0.043522,-0.119401,0.006601,0.000688,0.084986,0.194676,0.025653,0.003171,0.033948,-0.000367,0.000751,-0.000151,0.00025,0.0,-0.000493,0.000604,-0.000357,0.0,5.9e-05,0.00046,0.0,9.9e-05,0.000448,-1.2e-05,3.6e-05,0.0,-0.014261,0.001084,-0.031846,0.0,-7.3e-05,0.0,0.001855,0.004203
ST4896,0.041976,0.043408,0.032827,0.010007,-0.002881,0.102637,0.080248,0.004216,-0.000353,0.013515,0.00636,0.001124,-0.000461,-0.001144,0.000151,0.000508,-0.000266,-0.000211,0.000194,0.002225,0.000368,-0.000157,-0.000394,-0.000861,0.000352,0.000141,0.001604,-0.000837,0.002271,0.00375,0.0,0.007524,0.0,0.001684,0.002481
ST4905,0.041976,0.043408,0.02236,0.008863,0.001131,0.074576,0.193361,0.017717,-0.000842,0.028534,-0.00264,-0.003593,0.001614,-0.003104,-5.9e-05,-0.000129,0.000222,0.000427,0.000255,0.000591,-0.001425,0.000479,-0.00074,0.000829,0.001172,-0.000127,0.000293,-0.000269,0.003102,0.008537,0.0,0.001562,0.000396,0.001089,0.003199
ST4919,0.041976,0.043408,0.022576,0.009446,-0.006496,0.076337,0.169334,0.002726,0.000746,0.014264,0.012959,0.003029,0.000675,-0.001285,-0.00019,0.000436,-0.000177,0.000358,-0.000145,0.001508,8.9e-05,-7.1e-05,-0.000405,-0.001583,0.000189,0.001629,0.0045,-0.000345,0.003028,0.008208,0.0,0.002424,0.001692,0.000714,0.002908
